state,city,pop1980
AL,Montgomery,177857
AK,Juneau,19528
AZ,Phoenix,1422000
AR,Little Rock,295000
CA,Sacramento,803000
CO,Denver,1356000
CT,Hartford,731000
DE,Dover,23507
FL,Tallahassee,81548
GA,Atlanta,1625000
HI,Honolulu,584000
ID,Boise,117000
IL,Springfield,506000
IN,Indianapolis,838000
IA,Des Moines,268000
KS,Topeka,115266
KY,Frankfort,25973
LA,Baton Rouge,351000
ME,Augusta,21819
MD,Annapolis,31740
MA,Boston,3281000
MI,Lansing,255000
MN,Saint Paul,270230
MS,Jackson,266000
MO,Jefferson City,33619
MT,Helena,23938
NE,Lincoln,171932
NV,Carson City,32323
NH,Concord,385000
NJ,Trenton,244000
NM,Santa Fe,75360
NY,Albany,490000
NC,Raleigh,209000
ND,Bismarck,79988
OH,Columbus,836000
OK,Oklahoma City,615000
OR,Salem,89233
PA,Harrisburg,279000
RI,Providence,990000
SC,Columbia,312000
SD,Pierre,11973
TN,Nashville,520000
TX,Austin,383000
UT,Salt Lake City,677000
VE,Montpelier,600000
VI,Richmond,600000
WA,Olympia,27447
WV,Charleston,64000
WI,Madison,214000
WY,Cheyenne,47283